,exact
mireia-pre-annotator,0.6498699189992061
miriam-mireia,0.645984374910307
miriam-pre-annotator,0.636347858283387
xavi-mireia,0.7162170245857511
xavi-miriam,0.671213888856802
xavi-pre-annotator,0.754399737901107
